country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,openfda,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status,severity_score
United States,Davie,4131 SW 47th Ave Ste 1403,Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,,"1,990 bottles","UPC No. 632687615989; Lot No. 30661601, Exp. Date 05/2018.",20161025,"FL, MI, MS, and OH.",FL,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",20161102,Class II,{},Pharmatech LLC,F-0276-2017,Letter,Food,75272,,20160808,33314-4036,Voluntary: Firm initiated,Ongoing,3
United States,Miami,13439 NW 19 LANE,"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",,144 pieces,UPC 635349 000390  Best By dates: 07/01/14 thru 12/31/14,20141202,"FL, GA. NC, and TN",FL,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),20141210,Class I,{},"Oasis Brands, Inc",F-0609-2015,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,69516,20170328.0,20141010,33182,Voluntary: Firm initiated,Terminated,5
United States,Seattle,3429 Airport Way S,Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,,24 packages,no codes,20180614,distributed in WA,WA,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",20180620,Class III,{},Yukon Jackson,F-1578-2018,Visit,Food,80233,20180625.0,20180525,98134-2139,Voluntary: Firm initiated,Terminated,1
United States,Brooklyn,47 Bridgewater St # 57,"Product contains dried peaches, but front labeling of product stated dried plums",,unknown,UPC CODE: 6868978724496  BEST BEFORE: 11/15/2021,20200424,Unknown,NY,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)",20200506,Class III,{},Rong Shing Trading NY Inc,F-0921-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,85364,20210318.0,20200401,11222-3820,Voluntary: Firm initiated,Terminated,1
United States,Tipp City,320 N 2nd St,The firm stated that the product contains undeclared allergens.,,480/20 ib cases,"Product #29973B  Code Dates: 10/20/2016, 11/8/2016, 11/9/2016 & 01/12/2017.",20170605,Product was sent to one manufacturer in MI,OH,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",20170614,Class II,{},Trophy Nut Co Inc,F-2326-2017,Letter,Food,77213,20180213.0,20170505,45371,Voluntary: Firm initiated,Terminated,3
United States,Tucker,3301 Montreal Industrial Way,Undeclared Allergen; Peanuts.,,577 cases (108 frozen pucks per case),"CSM Item Code: 31566200, Lot code: 5AF 1411901030",20150312,"AL, GA, FL, IL, IN, MA, MD, MI, NJ, NY, NV, OH, PA and VA.",GA,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",20150318,Class I,{},CSM Bakery Products NA-Atlanta Frozen,F-1415-2015,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,68761,20150326.0,20140626,30084-5211,Voluntary: Firm initiated,Terminated,5
United States,Minneapolis,33 S 6th St,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,,2652 retail units total,"All product purchased at  Target store T2780, Honolulu, HI from March 23 through March 27, 2018.",20180503,HI,MN,Market Pantry Vanilla Ice Cream 128oz    UPC: 85239014943    Target item number: 288-7-307,20180509,Class II,{},Target Corporation,F-1328-2018,Telephone,Food,79663,20180503.0,20180327,55402-3601,Voluntary: Firm initiated,Terminated,3
United States,Lenexa,10001 Industrial Blvd,Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,,"766,271 Cases Total",Oct 08 18 LXC,20180307,"Distributed to retail stores in AR, IA, IL, KS, MO, and NE.",KS,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA",20180314,Class II,{},Heartland Coca-Cola Bottling Company,F-0894-2018,Letter,Food,79216,20180705.0,20180212,66215-1209,Voluntary: Firm initiated,Terminated,3
United States,Kapaa,5915 Olohena Rd,Candy was made using carob powder that is currently under recall by the direct supplier due to potential Salmonella contamination.,Unit H,All,UPC for single truffles: 11386711886    No lot codes or expiry dates,20140825,HI only,HI,"Tiny Isle Chocolate Truffles Macadamia Nut: Gluten Free, Raw, Vegan; individual 1 oz. candies,    Tiny Isle  5915 Olohena Road, Unit H  Kapaa, HI 96746",20140903,Class I,{},"Florimont, Inc.",F-2387-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,68994,20141104.0,20140725,96746-7709,Voluntary: Firm initiated,Terminated,5
United States,City Of Industry,13260 Temple Ave,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,,1035 units,8520,20150330,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",CA,EST -700 Calcium,20150408,Class II,{},Health One Pharmaceuticals Inc,F-1681-2015,Letter,Food,70344,20150331.0,20150204,91746-1511,Voluntary: Firm initiated,Terminated,3
